ds,Осадки,Влажность,Давление,Направление ветра,Скорость ветра,Температура,NO,NO2,CO,PM2.5,PM10
2021-01-07 15:00:00,0.013304557521561943,88.98636082847666,759.6053668833683,74.3688594588638,0.36291588685832,-4.333585647262202,0.028881842549259764,0.043722756105590066,0.3304537377565405,0.015422443994927966,0.02021620779795931
2021-01-07 15:20:00,0.013319512458730549,88.9834191805604,759.6032485899831,74.21482271359109,0.3621036117116367,-4.332162426588771,0.02866780089220277,0.043731402113157854,0.33033815431197716,0.015397536120007205,0.020194626611910915
2021-01-07 15:40:00,0.013334262836700679,88.98047459384173,759.6008773031396,74.06096992052736,0.36129270156229065,-4.330720409444073,0.028426737335493207,0.04376648941686147,0.33006969506266076,0.015372432071273485,0.020180114412015716
2021-01-07 16:00:00,0.013348808392825174,88.9775271843541,759.5982566151337,73.90730577462782,0.36048318683240077,-4.3292595721610265,0.02816080849165923,0.04383384050941084,0.3297346421614952,0.015348224504666354,0.020173235151823066
2021-01-07 16:20:00,0.013363148871875022,88.97457706800746,759.595390226201,73.7538349751831,0.35967509796337105,-4.327779891702896,0.02787411487862534,0.04394044917600005,0.3294504559867067,0.015326039660898478,0.020175677903734313
2021-01-07 16:40:00,0.013377284025900224,88.9716243605595,759.5922819363459,73.60056222551678,0.35886846541355416,-4.326281345658524,0.027572459787963348,0.04409355664421895,0.3293523951613436,0.015306989548906986,0.020190145223340797
2021-01-07 17:00:00,0.013391213614365582,88.9686691776471,759.5889356369654,73.44749223295393,0.35806331965767957,-4.324763912255426,0.02726297511617924,0.04429960470080113,0.32957825386082484,0.015292121493850952,0.020220090369716365
2021-01-07 17:20:00,0.013404937404027617,88.96571163472534,759.585355302539,73.29462970838865,0.3572596911848414,-4.323227570346904,0.026953666051550952,0.04456319496331491,0.3302529076916123,0.015282367504106734,0.020269329842596957
2021-01-07 17:40:00,0.013418455169044163,88.96275184712295,759.5815449821522,73.14197936658206,0.3564576104993381,-4.321672299426432,0.02665292896555048,0.04488618095609769,0.33147431137968675,0.015278495835167745,0.020341572778872573
2021-01-07 18:00:00,0.01343176669089961,88.95978992998603,759.5775087910231,72.98954592549109,0.3556571081172659,-4.320098079619408,0.026369092200979397,0.04526700207862799,0.33330236348625886,0.01528106696066699,0.020439919233734734
