ds,Осадки,Влажность,Давление,Направление ветра,Скорость ветра,Температура,CO,NO,NO2,PM10,PM2.5
2021-01-23 16:00:00,0.022589028881873044,90.48597666797906,759.5117018686693,147.98955973922023,2.1789395067170823,-4.4446983096985155,0.3284811030303346,0.020465936083433365,0.029597035497500257,0.021376043480901868,0.015321224244071598
2021-01-23 16:20:00,0.022587518619568456,90.48707326164197,759.5175556543024,147.7839829089126,2.178413933371521,-4.446391036412223,0.32925338404288446,0.020211377862665986,0.030012628143442754,0.021561512380560074,0.015533037725172689
2021-01-23 16:40:00,0.022585955207233506,90.48822001184087,759.5236820800793,147.57833022393157,2.177891162152942,-4.448060154031579,0.3296447652577969,0.01990271945637191,0.03043622826341165,0.021721200984548748,0.015697035875380808
2021-01-23 17:00:00,0.022584339116418658,90.48941697097449,759.5300830772541,147.37260593709897,2.1773712051242367,-4.449705672780584,0.329870669276376,0.01954235481326541,0.03086620320613374,0.02184592182884057,0.015804850107315374
2021-01-23 17:20:00,0.022582670820535472,90.49066418977021,759.5367605061905,147.16681430388985,2.1768540742428115,-4.451327603749551,0.3301923948639138,0.01913957983666946,0.03130573536267799,0.021934055178843774,0.01585355838451851
2021-01-23 17:40:00,0.022580950795008436,90.49196171730524,759.5437161595286,146.96095958286406,2.1763397813620844,-4.452925958883072,0.3308813952755358,0.01870944012555143,0.031761495380949814,0.02199129254160185,0.015845763146754562
2021-01-23 18:00:00,0.02257917951711213,90.49330960095674,759.5509517654147,146.7550460349247,2.1758283382291,-4.4545007509826,0.3321817034054237,0.01827091577560814,0.03224185870591885,0.022029475481990496,0.0157890815023335
2021-01-23 18:20:00,0.022577357466034207,90.49470788646286,759.5584689906451,146.54907792385214,2.1753197564865303,-4.456051993712669,0.33427516851587136,0.01784468070740736,0.03275489609534123,0.022064691008938923,0.015695116458941578
2021-01-23 18:40:00,0.022575485122824118,90.49615661785666,759.5662694438163,146.343059515774,2.1748140476703637,-4.457579701586106,0.33725380484065115,0.017450717318703176,0.03330638897743202,0.022114870094127277,0.015578035393404422
2021-01-23 19:00:00,0.02257356297036624,90.4976558375032,759.5743546784191,146.13699507909044,2.1743112232105526,-4.459083889982632,0.3411026681642704,0.017106075909524614,0.03389811133634857,0.02219719071792768,0.015452924143613558
2021-01-23 19:20:00,0.022571591493343878,90.49920558608613,759.5827261958934,145.93088888456515,2.1738112944304895,-4.460564575130472,0.34569538289108664,0.01682304200156755,0.034526582995345466,0.022325605061747543,0.01533410728853807
2021-01-23 19:40:00,0.022569571178264136,90.50080590258922,759.5913854486065,145.72474520498392,2.1733142725463197,-4.462021774125402,0.3508028984752542,0.016607917297232475,0.03518243965564649,0.022508790349538454,0.015233624995060736
2021-01-23 20:00:00,0.022567502513387527,90.50245682430455,759.6003338427852,145.51856831520962,2.1728201686671844,-4.46345550490876,0.3561144490944692,0.01646053922970273,0.035850490317678174,0.022748767246917535,0.015160034545419917
2021-01-23 20:20:00,0.02256538598877387,90.50415838684029,759.6095727413764,145.31236249191255,2.1723289937944625,-4.464865786285335,0.36126821946322285,0.0163745701606162,0.036510451875591945,0.023040345726486357,0.015117663197650065
2021-01-23 20:40:00,0.022563222096087233,90.50591062408667,759.6191034668046,145.1061320136873,2.171840758821681,-4.466252637914858,0.36588806057231527,0.01633849207038316,0.03713827333500182,0.023371456308618407,0.01510638351114816
2021-01-23 21:00:00,0.02256101132886274,90.50771356826118,759.628927303675,144.89988116063674,2.171355474533944,-4.4676160803110445,0.36962189142085433,0.016337157778469637,0.037707897264909286,0.023724317060418103,0.015121919426149037
2021-01-23 21:20:00,0.02255875418217556,90.50956724983295,759.6390455013529,144.69361421447815,2.1708731516076756,-4.4689561348450155,0.3721772499230302,0.016353685618993148,0.03819326100368754,0.0240772866793307,0.015156628767454846
