ds,Осадки,Влажность,Давление,Направление ветра,Скорость ветра,Температура,CO,NO,NO2,PM2.5,PM10
2021-02-23 16:00:00,0.02243438637088981,76.00142608615528,745.4159223342579,23.296191789945876,1.5757586288432224,-3.0620862433852034,0.5756552482130014,0.020566342867021345,0.04478720368145763,0.015813090281764586,0.012320035744688748
2021-02-23 16:20:00,0.022429400879359223,76.00062861613132,745.4264611866945,23.255087065775335,1.576274663162859,-3.0715510527195864,0.5777976483448051,0.020624204340796336,0.04547642307153608,0.015859880600547088,0.012320447756660328
2021-02-23 16:40:00,0.022424443085212714,76.00002154095472,745.4375121864134,23.21443624520036,1.5767940259189828,-3.081004486922759,0.5800075161440689,0.02070367023235258,0.046234170133615936,0.0159133659295912,0.012319712328673432
2021-02-23 17:00:00,0.022419513929638202,75.99960508864862,745.4490601073776,23.17424110440038,1.5773167152610519,-3.0904462836076165,0.5823254111362862,0.02080643084526531,0.04703948628074403,0.015971546143220716,0.012317719507793439
2021-02-23 17:20:00,0.02241461435264342,75.99937948199197,745.4610897067108,23.134503410187925,1.5778427292698103,-3.099876180705497,0.5847914725427706,0.020932145216810104,0.0478705122835242,0.01603214301689385,0.012314460649642442
2021-02-23 17:40:00,0.022409745293295855,75.99934493851649,745.4735857354885,23.09522492023099,1.578372065955118,-3.109293916455645,0.5874311246307472,0.021077491546200984,0.04870586599157143,0.016092734399719723,0.01231002955957066
2021-02-23 18:00:00,0.02240490768936044,75.99950167048053,745.4865329496098,23.056407382667572,1.5789047232573818,-3.1186992294224423,0.5902418884554751,0.021235599275213363,0.04952585140816297,0.016150903411183925,0.012304612192669992
2021-02-23 18:20:00,0.022400102477573666,75.99984988489832,745.4999161203792,23.018052536248877,1.5794406990457541,-3.128091858491379,0.5931832586379888,0.021395965287185723,0.05031336889320712,0.016204389881183674,0.012298466323294411
2021-02-23 18:40:00,0.022395330593368363,76.00038978348557,745.5137200451591,22.980162110194797,1.5799799911189722,-3.1374715428713706,0.5961712391143545,0.021544891329239393,0.051054434622402514,0.016251230441746242,0.01229189374091565
2021-02-23 19:00:00,0.022390592970952146,76.00112156267468,745.5279295578251,22.942737824162663,1.5805225972055204,-3.14683802212262,0.5990785596473199,0.02166640948673157,0.05173826783281983,0.016289874327046046,0.01228520835448573
2021-02-23 19:20:00,0.02238589054330286,76.00204541364126,745.5425295391556,22.90578138810268,1.5810685149614399,-3.1561910361324514,0.6017408855402275,0.021743596415519262,0.05235696064060194,0.01631926402666,0.01227870399781183
2021-02-23 19:40:00,0.022381224242054173,76.0031615222155,745.5575049270889,22.869294502337564,1.5816177419737298,-3.165530325141024,0.6039685737739263,0.02176012356552414,0.05290480026935866,0.016338873273804823,0.012272625680264099
2021-02-23 20:00:00,0.02237659499744157,76.00447006894709,745.5728407268188,22.83327885731995,1.582170275755737,-3.174855629739188,0.6055628134630864,0.021701856689063072,0.053377360349609354,0.01634869909337332,0.012267147532739758
2021-02-23 20:20:00,0.02237200373841112,76.00597122908961,745.588522020823,22.797736133722353,1.582726113750865,-3.1841666908803115,0.6063344061401877,0.021558307923799657,0.05377051047064764,0.016349209329666547,0.012262359823442953
