ds,Осадки,Влажность,Давление,Направление ветра,Скорость ветра,Температура,CO,NO,PM10,PM2.5,NO2
2021-02-21 23:40:00,0.034344997081854095,71.25977925372638,763.3371627404698,88.20310871547642,0.43853947015075667,-1.4173663823078924,0.5877464390184077,0.008292809784260138,0.05346409170253936,0.02850981590547371,0.051289820841915884
2021-02-22 00:00:00,0.03434989794899451,71.24445669874672,763.2577455474599,88.19841021475105,0.43813969728741,-1.4263072316762457,0.5836695663276271,0.008479159953077282,0.053158730965207686,0.02845813193093534,0.05088267548201712
2021-02-22 00:20:00,0.03435456981089514,71.22923814607971,763.178312855404,88.1935496916443,0.4377406785744158,-1.4352681201191935,0.578440852262697,0.008585127284034927,0.05280500298112706,0.028392181662838106,0.05040477860337367
2021-02-22 00:40:00,0.034359013236352466,71.21412416749095,763.0988892744521,88.18852734640225,0.43734242146518204,-1.4442487828766115,0.5721704997202955,0.008601611982333448,0.0524244374369255,0.02831666315647397,0.04987280933457848
2021-02-22 01:00:00,0.03436322879999749,71.19911533218502,763.0194994385354,88.18334338151774,0.4369449333685643,-1.4532489548423575,0.5649824492296336,0.008524436925081877,0.05203902377682222,0.02823620084026115,0.0493028736495534
2021-02-22 01:20:00,0.03436721708204704,71.18421220679853,762.9401679919907,88.17799800189513,0.43654822165027196,-1.462268370567867,0.5570169607126263,0.00835532443787816,0.051669126411151046,0.028154920578000023,0.048709835168467885
2021-02-22 01:40:00,0.03437097866845156,71.16941535534087,762.8609195757448,88.17249141448582,0.43615229363053454,-1.4713067642601665,0.5484356475858049,0.008102489718461022,0.05133165381934818,0.028076108116896016,0.048107022095210145
2021-02-22 02:00:00,0.034374514150798056,71.15472533924235,762.7817788137914,88.16682382861657,0.43575715658540515,-1.4803638698003887,0.5394274728265533,0.007780737675971051,0.051038685389096894,0.02800198398861781,0.04750630008740029
2021-02-22 02:20:00,0.03437782412622756,71.14014271727858,762.7027702993548,88.1609954557004,0.4353628177449579,-1.4894394207404007,0.5302138999229566,0.007410992323977163,0.050796702885276185,0.027933613562049132,0.046918446146675154
2021-02-22 02:40:00,0.03438090919755994,71.12566804557196,762.62391858125,88.15500650932447,0.4349692842944754,-1.4985331503051178,0.5210513491981856,0.007019242193620292,0.05060649920834307,0.027870954744101815,0.046353713894263605
2021-02-22 03:00:00,0.03438376997314363,71.11130187758401,762.5452481499997,88.1488572052555,0.43457656337284306,-1.507644791421237,0.5122293554992591,0.006634945866829268,0.05046375459983292,0.027813029721199728,0.04582245179157207
2021-02-22 03:20:00,0.03438640706685132,71.0970447640889,762.4667834241687,88.14254776132526,0.434184662073297,-1.5167740766868523,0.504063332880407,0.0062890020132689625,0.05036018973798198,0.027758193037982666,0.04533562693926416
2021-02-22 03:40:00,0.034388821098100715,71.08289725314957,762.3885487365267,88.13607839744611,0.43379358744198765,-1.5259207384105524,0.49688156482462525,0.006011441288769627,0.05028513603037918,0.02770445786065415,0.04490511937318723
2021-02-22 04:00:00,0.034391012691779306,71.06885989010905,762.3105683202309,88.12944933562648,0.4334033464787132,-1.5350845085987137,0.49100686575314045,0.0058290367262993515,0.05022731424875782,0.027649836660145154,0.04454368390251714
2021-02-22 04:20:00,0.034392982478244516,71.05493321758102,762.2328662952319,88.12266079991184,0.43301394613641175,-1.54426511896727,0.48673419369944415,0.00576304973348039,0.05017658940888166,0.02759265236698917,0.04426452451096105
2021-02-22 04:40:00,0.03439473109332047,71.04111777541044,762.1554666543342,88.11571301632577,0.4326253933200327,-1.5534623009493407,0.4843062233501646,0.005827327366707075,0.05012547527059526,0.027531781228794412,0.04408048407128002
2021-02-22 05:00:00,0.03439625917819174,71.02741410066811,762.0783932497753,88.10860621285687,0.4322376948870603,-1.5626757856906588,0.4838894113127388,0.006026942428762252,0.0500701953151819,0.02746679842924856,0.044002912162508984
2021-02-22 05:20:00,0.034397567379464304,71.01382272763124,762.0016697793544,88.10134061952903,0.43185085764728043,-1.5719053040785314,0.4855533219503539,0.006357522887511281,0.050011164427422414,0.027398010733920695,0.04404032821332175
2021-02-22 05:40:00,0.034398656349129024,71.00034418779146,761.9253197731006,88.09391646825964,0.43146488836210195,-1.5811505867164453,0.4892558870175131,0.0068053553016730675,0.04995282973678436,0.027326375349180546,0.04419703870300362
2021-02-22 06:00:00,0.034399526744431,70.9869790097739,761.8493665795703,88.08633399285777,0.4310797937441032,-1.590411363958629,0.4948368396019044,0.007348274483375761,0.04990289105270678,0.02725331895309903,0.044471889852655086
2021-02-22 06:20:00,0.03440017922796888,70.97372771938822,761.7738333526368,88.0785934290297,0.4306955804570912,-1.5996873658952424,0.502020828807837,0.00795727596971729,0.04987100100693727,0.027180483662901815,0.04485733751918203
2021-02-22 06:40:00,0.0344006144676534,70.96059083959703,761.6987430380665,88.07069501437715,0.4303122551158684,-1.608978322370758,0.5104307606637053,0.008598716971872629,0.04986711258546794,0.027109435969899155,0.04533899296049458
2021-02-22 07:00:00,0.03440083313660766,70.94756889044534,761.6241183603111,88.06263898827328,0.4299298242856416,-1.6182839629878387,0.5196108277797427,0.009236912885737374,0.04989968884717402,0.027041379284321106,0.04589575876008994
